step,mean_error,cov_error
1.000000000000000000e+00,1.380902598612010479e-03,5.626758188009262085e-02
2.000000000000000000e+00,1.077764201909303665e-03,3.019155375659465790e-02
3.000000000000000000e+00,7.395485881716012955e-04,3.223308548331260681e-02
4.000000000000000000e+00,3.225793479941785336e-04,3.780883178114891052e-02
5.000000000000000000e+00,3.999888431280851364e-04,1.426945440471172333e-02
6.000000000000000000e+00,9.041696903295814991e-04,2.326298505067825317e-02
7.000000000000000000e+00,2.774255990516394377e-04,2.205479517579078674e-02
8.000000000000000000e+00,9.839692211244255304e-05,9.679361246526241302e-03
9.000000000000000000e+00,2.820153313223272562e-04,7.169595919549465179e-03
1.000000000000000000e+01,1.847092498792335391e-04,6.597636267542839050e-03
1.100000000000000000e+01,1.491587754571810365e-04,7.043910212814807892e-03
1.200000000000000000e+01,1.106770592741668224e-03,1.733333058655261993e-02
1.300000000000000000e+01,6.818700348958373070e-04,6.036524195224046707e-03
1.400000000000000000e+01,1.037159934639930725e-03,5.024111829698085785e-03
1.500000000000000000e+01,1.174272969365119934e-03,5.295415408909320831e-03
1.600000000000000000e+01,2.114121161866933107e-04,8.936031721532344818e-03
1.700000000000000000e+01,3.867517516482621431e-04,6.676926743239164352e-03
1.800000000000000000e+01,5.325353704392910004e-04,7.111330516636371613e-03
1.900000000000000000e+01,9.972725529223680496e-04,4.553956910967826843e-03
2.000000000000000000e+01,2.314013254363089800e-04,5.102469585835933685e-03
2.100000000000000000e+01,1.180841005407273769e-03,4.977772943675518036e-03
2.200000000000000000e+01,7.931145373731851578e-04,4.725320264697074890e-03
2.300000000000000000e+01,2.291835262440145016e-04,5.555326119065284729e-03
2.400000000000000000e+01,2.904733701143413782e-04,5.922202486544847488e-03
2.500000000000000000e+01,5.337159382179379463e-04,4.565094597637653351e-03
2.600000000000000000e+01,3.292812325526028872e-04,4.437283147126436234e-03
2.700000000000000000e+01,1.344543270533904433e-04,4.318551626056432724e-03
2.800000000000000000e+01,1.247042906470596790e-03,4.405340645462274551e-03
2.900000000000000000e+01,1.967913121916353703e-04,4.463819321244955063e-03
3.000000000000000000e+01,4.271806683391332626e-04,4.405529238283634186e-03
3.100000000000000000e+01,6.700913654640316963e-04,4.174666479229927063e-03
3.200000000000000000e+01,4.777831782121211290e-05,4.416387062519788742e-03
3.300000000000000000e+01,7.345980266109108925e-04,4.412981681525707245e-03
3.400000000000000000e+01,8.741794736124575138e-04,4.142771009355783463e-03
3.500000000000000000e+01,7.654270157217979431e-04,4.277679603546857834e-03
3.600000000000000000e+01,4.258155531715601683e-04,4.362727981060743332e-03
3.700000000000000000e+01,2.736739406827837229e-04,4.405005369335412979e-03
3.800000000000000000e+01,4.557374340947717428e-04,4.222187213599681854e-03
3.900000000000000000e+01,8.062941487878561020e-04,4.206628538668155670e-03
4.000000000000000000e+01,6.605086964555084705e-04,4.302113782614469528e-03
